,Suburb,Address,Rooms,Type,Price,Date,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Latitude,Longitude,Regionname,Propertycount,train_station_id,train_station_name,distance_to_train_station,closest_school,distance_to_closest_school,Year,Month
10,Brighton East,244a South Rd,3,h,930000,2016/3/9,10.7,1,1,329,117,1930,-37.9317,145.0218,Southern Metropolitan,6938,19937,Moorabbin Railway Station (Moorabbin),1.34,Berendale School,1.19,2016,3
11,Avondale Heights,8 Norma Ct,3,h,850000,2016/3/9,10.5,1,1,593,118,1970,-37.7677,144.8674,Western Metropolitan,4502,20022,Tottenham Railway Station (West Footscray),3.53,Avondale Primary School,0.54,2016,3
12,Glen Iris,57 Brandon St,2,h,1699000,2016/3/9,9.2,1,2,653,,,-37.8573,145.077,Southern Metropolitan,10412,19848,Ashburton Railway Station (Ashburton),0.64,Ashburton Primary School,0.8,2016,3
13,Glen Iris,6 Beatrice St,3,h,1735000,2016/3/9,9.2,2,3,680,170,1935,-37.854,145.0832,Southern Metropolitan,10412,19849,Burwood Railway Station (Glen Iris),0.36,Hartwell Primary School,0.67,2016,3
14,Gowanbrae,31 Seggan Cir,3,t,532000,2016/3/9,13.6,2,1,149,19,2005,-37.7068,144.8963,Western Metropolitan,1071,20032,Glenroy Railway Station (Glenroy),1.86,Glenroy West Primary School,1.08,2016,3
15,Brighton,18 Rooding St,3,h,1635000,2016/3/9,11.2,1,2,366,156,1920,-37.9038,145.0001,Southern Metropolitan,10579,19952,North Brighton Railway Station (Brighton),0.25,Firbank Grammar School,0.38,2016,3
16,Brighton,802 Hampton St,3,h,1550000,2016/3/9,11.2,2,2,663,,1940,-37.9159,145.0068,Southern Metropolitan,10579,19951,Middle Brighton Railway Station (Brighton),0.93,Brighton Primary School,0.65,2016,3
17,Hadfield,20 Bedford St,3,h,605000,2016/3/9,12.1,1,2,597,116,1960,-37.711,144.9478,Northern Metropolitan,2606,19962,Fawkner Railway Station (Fawkner),1.19,St Thomas More's School,0.48,2016,3
18,Newport,1/26 Thorpe St,3,h,826000,2016/3/9,8.4,1,2,281,100,1957,-37.8457,144.8651,Western Metropolitan,5498,19994,Newport Railway Station (Newport),1.66,Newport Gardens Primary School,0.33,2016,3
19,Newport,23a Farm St,3,h,1025000,2016/3/9,8.4,2,2,301,195,,-37.842,144.8902,Western Metropolitan,5498,19994,Newport Railway Station (Newport),0.59,Sacred Heart School,0.8,2016,3
20,Hadfield,29 Sutherland St,3,h,685500,2016/3/9,12.1,1,2,724,103,1970,-37.7076,144.9481,Northern Metropolitan,2606,19961,Gowrie Railway Station (Glenroy),1.22,St Thomas More's School,0.28,2016,3
21,Braybrook,25 Lily St,2,h,645000,2016/3/9,10.8,1,1,566,75,1950,-37.7839,144.8524,Western Metropolitan,3589,22241,Sunshine Railway Station (Sunshine),1.79,Caroline Chisholm Catholic College,0.3,2016,3
22,South Yarra,9/10 Tivoli Rd,2,u,475000,2016/3/9,3.3,1,0,0,,,-37.8391,144.9984,Southern Metropolitan,14887,19959,South Yarra Railway Station (South Yarra),0.54,Kamaruka,0.14,2016,3
23,South Yarra,18/34 Rockley Rd,1,u,467500,2016/3/9,3.3,1,1,0,,,-37.8363,145.0003,Southern Metropolitan,14887,19959,South Yarra Railway Station (South Yarra),0.74,Kamaruka,0.31,2016,3
24,South Yarra,301/89 River St,2,u,930000,2016/3/9,3.3,2,2,0,,2000,-37.8361,144.9966,Southern Metropolitan,14887,19959,South Yarra Railway Station (South Yarra),0.46,Melbourne High School,0.14,2016,3
25,South Yarra,5/38 MacFarlan St,2,u,722000,2016/3/9,3.3,1,1,0,86,2003,-37.8393,144.9886,Southern Metropolitan,14887,19959,South Yarra Railway Station (South Yarra),0.34,Christ Church Grammar School,0.25,2016,3
26,South Yarra,11/276 Domain Rd,1,u,430000,2016/3/9,3.3,1,1,0,,1970,-37.8351,144.9909,Southern Metropolitan,14887,19959,South Yarra Railway Station (South Yarra),0.39,Melbourne High School,0.43,2016,3
27,Hampton,1/30 Grenville St,2,u,895000,2016/3/9,13.7,1,1,228,87,1975,-37.9355,145.0008,Southern Metropolitan,5454,19949,Hampton Railway Station (Hampton),0.28,St Mary's School,0.27,2016,3
28,Hampton,6/334 Hampton St,2,u,587000,2016/3/9,13.7,1,1,0,74,1975,-37.9419,145.0019,Southern Metropolitan,5454,19949,Hampton Railway Station (Hampton),0.44,Sandringham Primary School,0.91,2016,3
29,St Kilda,1/170 Barkly St,2,u,509000,2016/3/9,6.1,1,1,0,,,-37.8679,144.9813,Southern Metropolitan,13240,19956,Balaclava Railway Station (Balaclava),1.09,Yesodei HaTorah College,0.62,2016,3
30,St Kilda,31/12 Clyde St,1,u,380000,2016/3/9,6.1,1,1,0,50,1960,-37.8656,144.9782,Southern Metropolitan,13240,19956,Balaclava Railway Station (Balaclava),1.41,St Kilda Park Primary School,0.83,2016,3
31,Fitzroy North,76 Newry St,2,h,1116000,2016/3/9,3.5,1,0,152,,,-37.791,144.9809,Northern Metropolitan,6244,19974,Clifton Hill Railway Station (Clifton Hill),1.3,Fitzroy Community School,0.22,2016,3
32,Fitzroy North,50 Freeman St,2,h,870000,2016/3/9,3.5,1,0,107,64,1910,-37.7898,144.9794,Northern Metropolitan,6244,20019,Rushall Railway Station (Fitzroy North),1.36,Fitzroy Community School,0.08,2016,3
33,Fitzroy North,470 Brunswick St,2,h,860000,2016/3/9,3.5,1,0,104,70,1880,-37.7927,144.9796,Northern Metropolitan,6244,19974,Clifton Hill Railway Station (Clifton Hill),1.46,Fitzroy Community School,0.39,2016,3
34,Fitzroy North,233/4 Bik La,2,u,700000,2016/3/9,3.5,2,1,4332,85,2010,-37.7846,144.9785,Northern Metropolitan,6244,20019,Rushall Railway Station (Fitzroy North),1.23,Fitzroy North Primary School,0.5,2016,3
35,Yallambie,11 Tarcoola Dr,4,h,700000,2016/3/9,15,1,1,530,,,-37.7251,145.1053,Northern Metropolitan,1369,19986,Montmorency Railway Station (Montmorency),1.8,Streeton Primary School,0.48,2016,3
36,Fitzroy,3/18 Hanover St,3,h,1252000,2016/3/9,1.6,2,2,0,137,2004,-37.8029,144.975,Northern Metropolitan,5825,19843,Parliament Railway Station (Melbourne City),0.93,Academy of Mary Immaculate,0.1,2016,3
37,Fitzroy North,2 Pilkington St,4,h,1450000,2016/3/9,3.5,2,1,266,175,1950,-37.7797,144.9861,Northern Metropolitan,6244,20017,Merri Railway Station (Northcote),0.64,Deutsche Schule Melbourne,0.31,2016,3
38,Fitzroy,111 Cecil St,2,h,1000000,2016/3/9,1.6,1,0,128,,,-37.7941,144.9802,Northern Metropolitan,5825,19975,Victoria Park Railway Station (Abbotsford),1.37,Fitzroy Community School,0.55,2016,3
39,Strathmore,27 Woolart St,4,h,1052000,2016/3/9,9.7,2,2,699,,,-37.7207,144.9073,Western Metropolitan,3284,20033,Oak Park Railway Station (Oak Park),1.29,Oak Park Primary School,0.89,2016,3
40,Fairfield,150 Gillies St,3,h,1250000,2016/3/9,5.8,2,0,327,144,1910,-37.7723,145.0179,Northern Metropolitan,2970,19930,Fairfield Railway Station (Fairfield),0.77,Fairfield Primary School,0.67,2016,3
41,Essendon North,2/17 Bulla Rd,2,u,396000,2016/3/9,9.4,1,1,0,56,1975,-37.7428,144.9086,Western Metropolitan,1308,20036,Glenbervie Railway Station (Essendon),1.19,Essendon North Primary School,0.5,2016,3
42,Sunshine,1/136 Wright St,2,u,260000,2016/3/9,12.6,1,1,79,,,-37.7952,144.8262,Western Metropolitan,3755,22241,Sunshine Railway Station (Sunshine),0.95,Sunshine College,0.6,2016,3
43,North Melbourne,90 Molesworth St,3,h,1635000,2016/3/9,2.3,1,0,517,,,-37.7967,144.9472,Northern Metropolitan,6821,19972,Macaulay Railway Station (North Melbourne),1.01,North Melbourne Primary School,0.38,2016,3
44,Strathmore,78 Hillsyde Pde,3,h,905000,2016/3/9,9.7,2,2,662,,,-37.7356,144.9242,Western Metropolitan,3284,20034,Pascoe Vale Railway Station (Pascoe Vale),0.64,Strathmore Secondary College,0.26,2016,3
45,Fitzroy North,186 Queens Pde,2,t,930000,2016/3/9,3.5,3,0,2778,3558,,-37.7903,144.9859,Northern Metropolitan,6244,19974,Clifton Hill Railway Station (Clifton Hill),0.86,St John's School,0.2,2016,3
46,Yarraville,13 Benbow St,3,h,1000000,2016/3/9,7,2,1,448,147,1940,-37.8228,144.8799,Western Metropolitan,6543,19995,Spotswood Railway Station (Spotswood),1.02,Wembley Primary School,0.52,2016,3
47,Yarraville,6 Sanderson St,2,h,890000,2016/3/9,7,1,2,471,103,1950,-37.8149,144.8707,Western Metropolitan,6543,19996,Yarraville Railway Station (Yarraville),1.69,Kingsville Primary School,0.43,2016,3
48,Prahran,3/122 Williams Rd,2,u,781000,2016/3/9,4.5,1,1,0,73,1930,-37.8511,145.0029,Southern Metropolitan,7717,19947,Hawksburn Railway Station (South Yarra),0.73,Our Lady of Lourdes School,0.6,2016,3
49,Prahran,20a Percy St,2,h,950000,2016/3/9,4.5,1,1,88,121,2000,-37.8503,144.9913,Southern Metropolitan,7717,19958,Prahran Railway Station (Prahran),0.15,Prahran High School,0.2,2016,3
50,Footscray,202/51 Gordon St,1,u,85000,2016/3/9,6.4,1,0,0,,2007,-37.7911,144.89,Western Metropolitan,7570,20024,Middle Footscray Railway Station (Footscray),1.28,Footscray City College,0.35,2016,3
51,Altona North,4 Knapp St,3,h,781000,2016/3/9,11.1,1,2,533,117,1970,-37.8291,144.835,Western Metropolitan,5132,20022,Tottenham Railway Station (West Footscray),4.13,Emmanuel College,0.71,2016,3
52,Footscray,4/33 Ballarat Rd,3,t,585000,2016/3/9,6.4,1,1,259,,,-37.7955,144.9063,Western Metropolitan,7570,20025,Footscray Railway Station (Footscray),0.68,St Monica's School,0.63,2016,3
53,Prahran,13/37 Greville St,1,u,342000,2016/3/9,4.5,1,1,0,34,1960,-37.8486,144.9872,Southern Metropolitan,7717,19958,Prahran Railway Station (Prahran),0.26,Victorian College For The Deaf,0.45,2016,3
54,Prahran,7/36 Grandview Gr,2,u,650000,2016/3/9,4.5,1,1,0,,,-37.85,145.0085,Southern Metropolitan,7717,19946,Toorak Railway Station (Armadale),0.48,Our Lady of Lourdes School,0.29,2016,3
55,Brunswick,8/55 De Carle St,2,u,428000,2016/3/9,5.2,1,2,0,,1970,-37.7593,144.9652,Northern Metropolitan,11918,19967,Anstey Railway Station (Brunswick),0.45,St Margaret Mary's School,0.28,2016,3
56,Brunswick,234 Victoria St,2,h,1026000,2016/3/9,5.2,1,0,225,108,1905,-37.7676,144.9665,Northern Metropolitan,11918,19968,Brunswick Railway Station (Brunswick),0.61,Sydney Road Community School,0.47,2016,3
57,Flemington,96 Bryant St,2,h,865500,2016/3/9,4.4,1,1,168,,,-37.7835,144.9339,Northern Metropolitan,3593,20040,Newmarket Railway Station (Flemington),0.61,Mount Alexander 7-12 College,0.16,2016,3
58,Niddrie,28 Coghlan St,3,t,830000,2016/3/9,11.2,3,2,303,236,2013,-37.742,144.8885,Western Metropolitan,2291,22253,Essendon Railway Station (Essendon),2.89,St John Bosco's School,0.19,2016,3
59,Niddrie,3a Irving St,3,h,780000,2016/3/9,11.2,2,2,274,,,-37.7353,144.8907,Western Metropolitan,2291,20036,Glenbervie Railway Station (Essendon),2.97,St John Bosco's School,0.94,2016,3
60,Yarraville,83 Tarrengower St,3,h,1165000,2016/3/9,7,1,0,191,105,1910,-37.8175,144.8879,Western Metropolitan,6543,19996,Yarraville Railway Station (Yarraville),0.26,Yarraville West Primary School,0.38,2016,3
61,Yarraville,40 Tarrengower St,2,h,760000,2016/3/9,7,1,1,134,,,-37.8176,144.8911,Western Metropolitan,6543,19996,Yarraville Railway Station (Yarraville),0.22,St Augustine's School,0.45,2016,3
62,Hampton,3/31 Thomas St,2,u,720000,2016/3/9,13.7,1,1,832,,,-37.9387,145.0063,Southern Metropolitan,5454,19949,Hampton Railway Station (Hampton),0.43,Hampton Primary School,0.64,2016,3
63,Moorabbin,19 Hamer St,3,h,1000000,2016/3/9,14.6,2,2,573,150,1970,-37.9428,145.044,Southern Metropolitan,2555,19872,Highett Railway Station (Highett),0.65,Moorabbin Primary School,0.4,2016,3
64,Brunswick West,8/7 Passfield St,2,u,521500,2016/3/9,5.9,1,1,0,69,1960,-37.768,144.9408,Northern Metropolitan,7082,19968,Brunswick Railway Station (Brunswick),1.65,Brunswick South West Primary School,0.37,2016,3
65,Balwyn North,153 Doncaster Rd,3,h,1500000,2016/3/9,9.2,2,1,778,154,1950,-37.7939,145.0789,Southern Metropolitan,7809,19893,Canterbury Railway Station (Canterbury),3.41,Balwyn North Primary School,0.35,2016,3
66,Balwyn North,32 Jaserfold St,2,h,1080000,2016/3/9,9.2,1,1,253,,,-37.7912,145.085,Southern Metropolitan,7809,19896,Mont Albert Railway Station (Mont Albert),3.62,Boroondara Park Primary School,0.32,2016,3
67,Balwyn North,3/41 Clifton St,3,t,1315000,2016/3/9,9.2,2,2,260,167,2000,-37.7966,145.1021,Southern Metropolitan,7809,19896,Mont Albert Railway Station (Mont Albert),2.56,St Bridget's School,0.13,2016,3
68,Kew,13 Annadale St,3,h,1635000,2016/3/9,5.6,1,2,396,,1990,-37.8102,145.0451,Southern Metropolitan,10331,19903,Auburn Railway Station (Hawthorn East),1.36,Ruyton Girls' School,0.53,2016,3
69,Mont Albert,371 Elgar Rd,2,h,1320000,2016/3/9,11.8,1,1,613,115,1950,-37.8238,145.1135,Eastern Metropolitan,2079,19896,Mont Albert Railway Station (Mont Albert),0.85,Our Lady of Perpetual Succour School,0.72,2016,3
70,Kensington,65 Gatehouse Dr,3,h,852000,2016/3/9,4.2,1,1,166,138,2000,-37.7929,144.9197,Northern Metropolitan,5263,20026,South Kensington Railway Station (Kensington),0.9,Kensington Primary School,0.7,2016,3
71,Kensington,4 Coopers La,3,h,785000,2016/3/9,4.2,1,1,258,64,,-37.7906,144.924,Northern Metropolitan,5263,20040,Newmarket Railway Station (Flemington),0.57,Kensington Community High School,0.33,2016,3
72,Richmond,24 Butler St,2,h,937000,2016/3/9,2.6,1,1,125,103,1950,-37.8106,144.994,Northern Metropolitan,14949,19977,North Richmond Railway Station (Richmond),0.13,Richmond West Primary School,0.37,2016,3
73,Richmond,81 Erin St,3,h,1260000,2016/3/9,2.6,1,0,203,81,1900,-37.8166,144.9945,Northern Metropolitan,14949,19978,West Richmond Railway Station (Richmond),0.33,Richmond West Primary School,0.35,2016,3
74,Kensington,35 Henry St,3,h,1037000,2016/3/9,4.2,1,1,188,106,1910,-37.7953,144.9275,Northern Metropolitan,5263,20041,Kensington Railway Station (Kensington),0.32,Holy Rosary School,0.12,2016,3
75,Richmond,52 Lyndhurst St,3,t,1236000,2016/3/9,2.6,2,1,675,,,-37.8206,145.0003,Northern Metropolitan,14949,19907,East Richmond Railway Station (Richmond),0.71,Richmond High School,0.42,2016,3
76,Maidstone,12 Bosquet St,3,h,670000,2016/3/9,9.2,1,3,564,,,-37.7832,144.8745,Western Metropolitan,3873,20022,Tottenham Railway Station (West Footscray),2.06,Footscray North Primary School,0.93,2016,3
77,Reservoir,1/21 Dumbarton St,3,u,475000,2016/3/9,11.2,1,1,191,107,1990,-37.7019,145.0256,Northern Metropolitan,21650,20008,Keon Park Railway Station (Thomastown),1.44,Northern School For Autism,0.41,2016,3
78,Avondale Heights,9 Rogerson St,3,h,750000,2016/3/9,10.5,1,1,0,103,1980,-37.7634,144.8611,Western Metropolitan,4502,20004,Albion Railway Station (Sunshine North),3.57,Avondale Primary School,0.31,2016,3
79,Balaclava,18 Linton St,4,h,1819000,2016/3/9,6.6,2,1,244,180,1900,-37.8668,144.9928,Southern Metropolitan,2952,19956,Balaclava Railway Station (Balaclava),0.31,St Kilda Primary School,0.51,2016,3
80,Malvern East,44 Thurso St,4,h,1300000,2016/3/9,11.2,2,2,644,,,-37.8747,145.0836,Southern Metropolitan,8801,19839,Holmesglen Railway Station (Malvern East),0.62,Malvern Valley Primary School,0.69,2016,3
81,Malvern East,1/13 Goode St,3,h,1210000,2016/3/9,11.2,2,1,337,146,1993,-37.8833,145.0697,Southern Metropolitan,8801,19838,East Malvern Railway Station (Malvern East),0.71,Murrumbeena Primary School,0.33,2016,3
82,Kew East,4/34 Strathalbyn St,2,u,620000,2016/3/9,7.5,1,1,0,,1970,-37.7971,145.0514,Southern Metropolitan,2671,19932,Darebin Railway Station (Ivanhoe),2.71,Kew East Primary School,0.21,2016,3
83,Malvern East,9 Chanak St,3,h,1490000,2016/3/9,11.2,1,1,322,137,1910,-37.8726,145.0396,Southern Metropolitan,8801,22248,Caulfield Railway Station (Caulfield East),0.6,Malvern Primary School,0.15,2016,3
84,Balwyn,36 Narrak Rd,4,h,1800000,2016/3/9,9.7,2,2,715,218,1985,-37.811,145.0958,Southern Metropolitan,5682,19896,Mont Albert Railway Station (Mont Albert),1.27,Mont Albert Primary School,0.65,2016,3
85,Ashwood,18 Teck St,2,h,995000,2016/3/9,12.2,1,1,583,,1950,-37.8693,145.1082,Southern Metropolitan,2894,19840,Jordanville Railway Station (Mount Waverley),0.59,Frank Dando Sports Academy,0.28,2016,3
86,Balwyn,2/16 Westminster St,2,t,1255000,2016/3/9,9.7,1,1,208,129,2000,-37.8128,145.0975,Southern Metropolitan,5682,19896,Mont Albert Railway Station (Mont Albert),1.02,Mont Albert Primary School,0.46,2016,3
87,Maidstone,32 Ringtail Cct,4,h,826000,2016/3/9,9.2,2,2,308,185,2012,-37.7833,144.8817,Western Metropolitan,3873,20023,West Footscray Railway Station (West Footscray),2.07,Footscray North Primary School,0.52,2016,3
88,Maidstone,27 Dunedin St,3,h,715000,2016/3/9,9.2,1,1,576,128,1970,-37.7808,144.8678,Western Metropolitan,3873,20022,Tottenham Railway Station (West Footscray),2.1,Christ the King Primary School,0.92,2016,3
89,Maidstone,3 Crefden St,3,t,615000,2016/3/9,9.2,2,2,165,161,2007,-37.7773,144.8725,Western Metropolitan,3873,20022,Tottenham Railway Station (West Footscray),2.58,Maribyrnong Secondary College,1.41,2016,3
90,Balwyn,166 Gordon St,2,h,2100000,2016/3/9,9.7,1,1,659,123,1920,-37.8094,145.0807,Southern Metropolitan,5682,19893,Canterbury Railway Station (Canterbury),1.68,Balwyn Primary School,0.51,2016,3
91,Moorabbin,6/1015 Nepean Hwy,1,u,380500,2016/3/9,14.6,1,1,106,51,1990,-37.9374,145.0388,Southern Metropolitan,2555,19937,Moorabbin Railway Station (Moorabbin),0.38,Moorabbin Primary School,0.52,2016,3
92,Moonee Ponds,504/26 Shuter St,3,u,670000,2016/3/9,6.9,2,2,0,120,2000,-37.7672,144.9209,Western Metropolitan,6232,20038,Moonee Ponds Railway Station (Moonee Ponds),0.23,St Monica's Primary School,0.86,2016,3
93,Bentleigh,22 Hobart St,2,h,1275000,2016/3/9,13,1,2,599,,,-37.925,145.046,Southern Metropolitan,6795,19938,Patterson Railway Station (Bentleigh),0.92,St Paul's School,0.47,2016,3
94,Preston,164 Gower St,4,h,900000,2016/3/9,8.8,2,1,530,,1940,-37.7416,145.016,Northern Metropolitan,14577,20012,Preston Railway Station (Preston),1.4,Northern College of the Arts and Technology,0.84,2016,3
95,Heidelberg Heights,97 Edwin St,2,h,815000,2016/3/9,10.5,1,2,589,120,1930,-37.7501,145.0505,Eastern Metropolitan,2947,19935,Heidelberg Railway Station (Heidelberg),1.19,St Pius X School,0.51,2016,3
96,Seddon,56 Hamilton St,3,h,1145000,2016/3/9,6.6,1,1,350,116,1890,-37.8094,144.8869,Western Metropolitan,2417,19996,Yarraville Railway Station (Yarraville),0.77,St Augustine's School,0.55,2016,3
97,Preston,370 Gilbert Rd,4,h,930000,2016/3/9,8.8,2,2,604,180,1920,-37.7369,144.9905,Northern Metropolitan,14577,20012,Preston Railway Station (Preston),0.9,St Raphael's School,0.36,2016,3
98,Preston,2 Eggleton Ct,3,h,855000,2016/3/9,8.8,1,2,584,,,-37.7332,145.0252,Northern Metropolitan,14577,20011,Regent Railway Station (Reservoir),2.05,Preston North East Primary School,0.37,2016,3
99,Preston,19 Malpas St,4,h,1004000,2016/3/9,8.8,0,0,650,,,-37.7346,145.0226,Northern Metropolitan,14577,20011,Regent Railway Station (Reservoir),1.88,Holy Name School,0.6,2016,3
100,Preston,6 Dalgety St,3,h,1250000,2016/3/9,8.8,1,2,644,141,1980,-37.7419,145.0049,Northern Metropolitan,14577,20012,Preston Railway Station (Preston),0.53,Preston High School,0.13,2016,3
101,South Melbourne,806/50 Albert Rd,2,u,593000,2016/3/9,2.1,2,1,0,83,2012,-37.8341,144.9713,Southern Metropolitan,5943,22238,Flinders Street Railway Station (Melbourne City),1.8,MacRobertson Girls High School,0.2,2016,3
102,South Melbourne,157 Napier St,3,h,1600000,2016/3/9,2.1,2,1,88,93,1890,-37.8363,144.9628,Southern Metropolitan,5943,22238,Flinders Street Railway Station (Melbourne City),2.04,South Melbourne Park Primary School,0.47,2016,3
103,Moorabbin,21 Fiddes St,3,h,1224000,2016/3/9,14.6,1,3,834,143,1960,-37.9376,145.0474,Southern Metropolitan,2555,19937,Moorabbin Railway Station (Moorabbin),1,St Catherine's School,0.42,2016,3
104,Box Hill,32 Margaret St,4,h,1620000,2016/3/9,13.1,2,2,697,255,1940,-37.8151,145.135,Eastern Metropolitan,4605,19897,Laburnum Railway Station (Blackburn),0.81,St Francis Xavier's School,0.49,2016,3
105,Ascot Vale,2/43 Roxburgh St,2,u,455000,2016/3/9,5.9,1,2,0,,,-37.7756,144.9165,Western Metropolitan,6567,20039,Ascot Vale Railway Station (Ascot Vale),0.47,St Mary's School,0.5,2016,3
106,Moorabbin,23 Fiddes St,3,h,1020000,2016/3/9,14.6,1,3,771,,,-37.9375,145.0474,Southern Metropolitan,2555,19937,Moorabbin Railway Station (Moorabbin),1,St Catherine's School,0.43,2016,3
107,Hawthorn,6a Scott St,4,h,1650000,2016/3/9,4.6,2,2,317,210,2005,-37.8344,145.0422,Southern Metropolitan,11308,19910,Kooyong Railway Station (Kooyong),0.98,Auburn South Primary School,0.63,2016,3
108,Bentleigh,5/205 Centre Rd,2,u,636000,2016/3/9,13,1,2,202,,1974,-37.9165,145.0259,Southern Metropolitan,6795,19939,Bentleigh Railway Station (Bentleigh),0.98,Bentleigh West Primary School,0.46,2016,3
109,Preston,376 Plenty Rd,3,h,930000,2016/3/9,8.8,1,2,518,,,-37.7418,145.0095,Northern Metropolitan,14577,20012,Preston Railway Station (Preston),0.86,Preston High School,0.28,2016,3
110,Heidelberg West,23 Redwood St,3,h,691000,2016/3/9,9.4,1,2,624,86,1965,-37.7456,145.0397,Eastern Metropolitan,2674,19935,Heidelberg Railway Station (Heidelberg),2.25,St Pius X School,0.6,2016,3
111,Bentleigh,1/236 Patterson Rd,3,u,875000,2016/3/9,13,1,2,348,121,1950,-37.9273,145.0479,Southern Metropolitan,6795,19938,Patterson Railway Station (Bentleigh),1.12,Tucker Road Bentleigh Primary School,0.59,2016,3
112,Bentleigh,2/531 South Rd,3,t,895000,2016/3/9,13,2,2,362,,1997,-37.9336,145.043,Southern Metropolitan,6795,19937,Moorabbin Railway Station (Moorabbin),0.56,Tucker Road Bentleigh Primary School,0.54,2016,3
113,Richmond,409/120 Palmer St,2,u,540000,2016/3/9,2.6,2,1,656,,,-37.8195,145.0103,Northern Metropolitan,14949,19906,Burnley Railway Station (Burnley),0.93,Trinity Catholic School,0.44,2016,3
114,Richmond,6/25 River St,2,u,795250,2016/3/9,2.6,1,2,0,85,1997,-37.8164,145.0136,Northern Metropolitan,14949,19905,Hawthorn Railway Station (Hawthorn),1.02,Trinity Catholic School,0.48,2016,3
115,Richmond,29/9 Tennyson St,2,u,582000,2016/3/9,2.6,1,1,0,75,2001,-37.824,144.9918,Northern Metropolitan,14949,22247,Richmond Railway Station (Richmond),0.14,Melbourne Indigenous Transition School,0.54,2016,3
116,Richmond,2/65 Westbank Tce,1,u,500000,2016/3/9,2.6,1,1,0,,,-37.8226,145.013,Northern Metropolitan,14949,19906,Burnley Railway Station (Burnley),0.73,Melbourne Girls College,0.12,2016,3
117,Keilor East,121 Sterling Dr,3,h,650000,2016/3/9,12.8,1,1,538,104,1970,-37.7441,144.8503,Western Metropolitan,5629,20003,Ginifer Railway Station (St Albans),3.86,St Peter's School,0.8,2016,3
118,Bentleigh East,18 Mervin St,2,h,1410000,2016/3/9,13.9,1,2,768,,,-37.9305,145.0547,Southern Metropolitan,10969,19937,Moorabbin Railway Station (Moorabbin),1.63,Tucker Road Bentleigh Primary School,0.55,2016,3
119,Bentleigh East,1/69 Purtell St,3,t,760000,2016/3/9,13.9,1,2,287,,,-37.9261,145.0566,Southern Metropolitan,10969,19938,Patterson Railway Station (Bentleigh),1.86,Bentleigh Secondary College,0.31,2016,3
120,Bentleigh East,30 Veronica St,2,h,825000,2016/3/9,13.9,2,1,176,125,2008,-37.9237,145.0763,Southern Metropolitan,10969,19916,Huntingdale Railway Station (Oakleigh),2.69,Coatesville Primary School,0.47,2016,3
121,Ivanhoe,9/88 Marshall St,2,u,480000,2016/3/9,7.9,1,1,0,,,-37.77,145.0472,Eastern Metropolitan,5549,19933,Ivanhoe Railway Station (Ivanhoe),0.2,Ivanhoe Grammar School,0.37,2016,3
